41,128,185
42,129,186
42,129,186
43,130,187
43,131,187
44,131,188
44,132,188
45,133,189
45,133,189
46,134,190
46,135,190
47,135,191
47,136,191
48,137,192
48,137,192
49,138,193
50,139,193
50,139,194
51,140,194
51,141,195
52,141,195
52,142,196
53,143,196
53,143,197
54,144,197
54,145,198
55,145,198
55,146,199
56,147,199
57,147,200
57,148,200
58,149,201
58,149,201
59,150,202
59,151,202
60,151,203
60,152,203
61,153,204
61,153,204
62,154,205
62,155,205
63,155,206
63,156,206
64,157,207
65,157,208
65,158,208
66,159,209
66,159,209
67,160,210
67,161,210
68,161,211
68,162,211
69,163,212
69,163,212
70,164,213
70,165,213
71,165,214
72,166,214
72,167,215
73,167,215
73,168,216
74,169,216
74,169,217
75,170,217
75,171,218
76,172,218
76,172,219
77,173,219
77,174,220
78,174,220
78,175,221
79,176,221
80,176,222
80,177,222
81,178,223
81,178,223
82,179,224
82,180,224
83,180,225
83,181,225
84,182,226
84,182,226
85,183,227
85,184,227
86,184,228
87,185,229
87,186,229
88,186,230
88,187,230
89,188,231
89,188,231
90,189,232
90,190,232
91,190,233
91,191,233
92,192,234
92,192,234
93,193,235
93,194,235
94,194,236
95,195,236
95,196,237
96,196,237
96,197,238
97,198,238
97,198,239
98,199,239
98,200,240
99,200,240
99,201,241
100,202,241
100,202,242
101,203,242
102,204,243
102,204,243
103,205,244
103,206,244
104,206,245
104,207,245
105,208,246
105,208,246
106,209,247
106,210,247
107,210,248
107,211,248
108,212,249
108,212,249
109,213,250
109,213,250
110,213,250
111,214,250
112,214,250
114,214,250
115,215,250
116,215,250
117,215,250
118,216,250
119,216,250
120,216,250
122,217,250
123,217,250
124,217,251
125,218,251
126,218,251
127,218,251
129,219,251
130,219,251
131,219,251
132,220,251
133,220,251
134,220,251
135,221,251
137,221,251
138,221,251
139,222,251
140,222,251
141,222,251
142,223,251
143,223,251
145,223,251
146,224,251
147,224,251
148,224,251
149,225,251
150,225,251
152,225,251
153,226,251
154,226,252
155,226,252
156,227,252
157,227,252
158,227,252
160,228,252
161,228,252
162,228,252
163,229,252
164,229,252
165,229,252
166,230,252
168,230,252
169,230,252
170,231,252
171,231,252
172,231,252
173,232,252
175,232,252
176,232,252
177,233,252
178,233,252
179,233,252
180,234,252
181,234,252
183,234,253
184,234,253
185,235,253
186,235,253
187,235,253
188,236,253
189,236,253
191,236,253
192,237,253
193,237,253
194,237,253
195,238,253
196,238,253
198,238,253
199,239,253
200,239,253
201,239,253
202,240,253
203,240,253
204,240,253
206,241,253
207,241,253
208,241,253
209,242,253
210,242,253
211,242,254
212,243,254
214,243,254
215,243,254
216,244,254
217,244,254
218,244,254
219,245,254
221,245,254
222,245,254
223,246,254
224,246,254
225,246,254
226,247,254
227,247,254
229,247,254
230,248,254
231,248,254
232,248,254
233,249,254
234,249,254
235,249,254
237,250,254
238,250,254
239,250,254
240,251,254
241,251,255
242,251,255
244,252,255
245,252,255
246,252,255
247,253,255
248,253,255
249,253,255
250,254,255
252,254,255
253,254,255
254,255,255
255,255,255
